"MasterID";"ErgZeiOrig";"WorldTyp";"Regatta";"WoFISARegat";"WBJahr";"WBZeitopen";"WBZeitZehntopen";"LandderMannschaft";"WBMannschaft";"RennTyp";"RenntypTrefferID";"U19U23openPR";"WorldBestU1923";"WorldBestU1923Zehntel";"WorldopenMasterID"
203180;"World Best: NZL MANSON Robert Poznan (POL) 2017 World Cup 6:30.74";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"6:30.74";"39074";"NZL";"MANSON Robert";"JM 1x";66;"open";;0;0
203181;"U19 World Champ' Best: USA DEAN Clark Racice (CZE) 2018 World Championships 6:45.45";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:30.74";"39074";"USA";"DEAN Clark";"JM 1x";66;"U19";"6:45.45";40545;203180
203182;"World Champion: GRE MAKRYGIANNIS Panagiotis St. Catharines (CAN) 2024 World Championships 7:23.11";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"MAKRYGIANNIS Panagiotis";"JM 1x";66;;;0;0
203210;"World Best: NZL MANSON Robert Poznan (POL) 2017 World Cup 6:30.74";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"6:30.74";"39074";"NZL";"MANSON Robert";"JM 1x";66;"open";;0;0
203211;"U19 World Champ' Best: USA DEAN Clark Racice (CZE) 2018 World Championships 6:45.45";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:30.74";"39074";"USA";"DEAN Clark";"JM 1x";66;"U19";"6:45.45";40545;203210
203212;"World Champion: GRE MAKRYGIANNIS Panagiotis St. Catharines (CAN) 2024 World Championships 7:23.11";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"MAKRYGIANNIS Panagiotis";"JM 1x";66;;;0;0
203240;"World Best: NZL MANSON Robert Poznan (POL) 2017 World Cup 6:30.74";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"6:30.74";"39074";"NZL";"MANSON Robert";"JM 1x";66;"open";;0;0
203241;"U19 World Champ' Best: USA DEAN Clark Racice (CZE) 2018 World Championships 6:45.45";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:30.74";"39074";"USA";"DEAN Clark";"JM 1x";66;"U19";"6:45.45";40545;203240
203242;"World Champion: GRE MAKRYGIANNIS Panagiotis St. Catharines (CAN) 2024 World Championships 7:23.11";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"MAKRYGIANNIS Panagiotis";"JM 1x";66;;;0;0
203271;"World Best: NZL MANSON Robert Poznan (POL) 2017 World Cup 6:30.74";"WorldBest";"JWM_Trakai_25_ALL";"Poznan (POL) 2017 World Cup";"2017";"6:30.74";"39074";"NZL";"MANSON Robert";"JM 1x";66;"open";;0;0
203272;"U19 World Champ' Best: USA DEAN Clark Racice (CZE) 2018 World Championships 6:45.45";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:30.74";"39074";"USA";"DEAN Clark";"JM 1x";66;"U19";"6:45.45";40545;203271
203273;"World Champion: GRE MAKRYGIANNIS Panagiotis St. Catharines (CAN) 2024 World Championships 7:23.11";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"MAKRYGIANNIS Panagiotis";"JM 1x";66;;;0;0
203299;"World Best: NZL MURRAY Eric / BOND Hamish London (GBR) 2012 Olympic Games 6:08.50";"WorldBest";"JWM_Trakai_25_ALL";"London (GBR) 2012 Olympic Games";"2012";"6:08.50";"36850";"NZL";"MURRAY Eric / BOND Hamish";"JM 2-";75;"open";;0;0
203300;"U19 World Champ' Best: CRO LONCARIC Patrik / LONCARIC Anton Racice (CZE) 2018 World Championships 6:27.91";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:08.50";"36850";"CRO";"LONCARIC Patrik / LONCARIC Anton";"JM 2-";75;"U19";"6:27.91";38791;203299
203301;"World Champion: ROU COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand St. Catharines (CAN) 2024 World Championships 7:03.69";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand";"JM 2-";75;;;0;0
203331;"World Best: NZL PRENDERGAST Grace / WILLIAMS Kerri Tokyo (JPN) 2021 Olympic Games 6:47.41";"WorldBest";"JWM_Trakai_25_ALL";"Tokyo (JPN) 2021 Olympic Games";"2021";"6:47.41";"40741";"NZL";"PRENDERGAST Grace / WILLIAMS Kerri";"JW 2-";31;"open";;0;0
203332;"U19 World Champ' Best: GRE KYRIDOU Maria / BOURMPOU Christina Racice (CZE) 2018 World Championships 7:15.53";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:47.41";"40741";"GRE";"KYRIDOU Maria / BOURMPOU Christina";"JW 2-";31;"U19";"7:15.53";43553;203331
203333;"World Champion: ROU URSU Iulica-Maria / TIVODARIU Gabriela St. Catharines (CAN) 2024 World Championships 7:39.27";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"URSU Iulica-Maria / TIVODARIU Gabriela";"JW 2-";31;;;0;0
203362;"World Best: NZL MURRAY Eric / BOND Hamish London (GBR) 2012 Olympic Games 6:08.50";"WorldBest";"JWM_Trakai_25_ALL";"London (GBR) 2012 Olympic Games";"2012";"6:08.50";"36850";"NZL";"MURRAY Eric / BOND Hamish";"JM 2-";75;"open";;0;0
203363;"U19 World Champ' Best: CRO LONCARIC Patrik / LONCARIC Anton Racice (CZE) 2018 World Championships 6:27.91";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"6:08.50";"36850";"CRO";"LONCARIC Patrik / LONCARIC Anton";"JM 2-";75;"U19";"6:27.91";38791;203362
203364;"World Champion: ROU COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand St. Catharines (CAN) 2024 World Championships 7:03.69";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"ROU";"COZMINCIUC Mateus-Simion / SCRIPCARIU Fabrizio-Alexand";"JM 2-";75;;;0;0
