"IDEssenzFisa";"IDEssenzRWR";"MinvonIDIntern";"RenTYP_orig_ErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
1;66;;"Under 19 Men's Single Sculls";"JM 1x";"JM 1x";"Boot";"JM";"J";"1x";"A";;;0;;;;0;0;;;;;"M";"M";;1
2;75;;"Under 19 Men's Pair";"JM 2-";"JM 2-";"Boot";"JM";"J";"2-";"A";;;0;;;;0;0;;;;;"M";"M";;2
3;80;;"Under 19 Men's Double Sculls";"JM 2x";"JM 2x";"Boot";"JM";"J";"2x";"A";;;0;;;;0;0;;;;;"M";"M";;2
4;87;;"Under 19 Men's Four";"JM 4-";"JM 4-";"Boot";"JM";"J";"4-";"A";;;0;;;;0;0;;;;;"M";"M";;4
5;95;;"Under 19 Men's Quadruple Sculls";"JM 4x";"JM 4x";"Boot";"JM";"J";"4x";"A";;;0;;;;0;0;;;;;"M";"M";;4
6;102;;"Under 19 Men's Eight";"JM 8+";"JM 8+";"Boot";"JM";"J";"8+";"A";;;0;;;;0;0;;;;;"M";"M";;9
7;22;;"Under 19 Women's Single Sculls";"JW 1x";"JW 1x";"Boot";"JW";"J";"1x";"A";;;0;;;;0;0;;;;;"W";"F";;1
8;31;;"Under 19 Women's Pair";"JW 2-";"JW 2-";"Boot";"JW";"J";"2-";"A";;;0;;;;0;0;;;;;"W";"F";;2
9;33;;"Under 19 Women's Double Sculls";"JW 2x";"JW 2x";"Boot";"JW";"J";"2x";"A";;;0;;;;0;0;;;;;"W";"F";;2
10;40;;"Under 19 Women's Four";"JW 4-";"JW 4-";"Boot";"JW";"J";"4-";"A";;;0;;;;0;0;;;;;"W";"F";;4
11;45;;"Under 19 Women's Quadruple Sculls";"JW 4x";"JW 4x";"Boot";"JW";"J";"4x";"A";;;0;;;;0;0;;;;;"W";"F";;4
12;50;;"Under 19 Women's Eight";"JW 8+";"JW 8+";"Boot";"JW";"J";"8+";"A";;;0;;;;0;0;;;;;"W";"F";;9
13;66;;"JM1x";"JM 1x";"JM 1x";"Boot";"JM";"J";"1x";"A";;;0;;;;0;0;;;;;"M";"M";;1
14;75;;"JM2-";"JM 2-";"JM 2-";"Boot";"JM";"J";"2-";"A";;;0;;;;0;0;;;;;"M";"M";;2
15;80;;"JM2x";"JM 2x";"JM 2x";"Boot";"JM";"J";"2x";"A";;;0;;;;0;0;;;;;"M";"M";;2
16;87;;"JM4-";"JM 4-";"JM 4-";"Boot";"JM";"J";"4-";"A";;;0;;;;0;0;;;;;"M";"M";;4
17;95;;"JM4x";"JM 4x";"JM 4x";"Boot";"JM";"J";"4x";"A";;;0;;;;0;0;;;;;"M";"M";;4
