"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
1;;568;"M1x PR3-II";"M1x PR3";"1x M PR3-II";"Boot";;;"1x";;"M PR3-II";;;;;;;;;;;;;;;1
2;;1220;"3/14 PARA";"3/14 PARA";"3/14 PARA";"Ergo";;;;;;;;;;;;;;;;;;;;
3;;1424;"CF 1x";"CF 1x";"CF 1x";"Coastel";"CF";"C";"1x";;;;438;;;;;;;;;;"W";"F";;1
4;;1425;"CF 2x";"CF 2x";"CF 2x";"Coastel";"CF";"C";"2x";;;;437;;;;;;;;;;"W";"F";;2
5;;1426;"CF 4x+";"CF 4x+";"CF 4x+";"Coastel";"CF";"C";"4x+";;;;436;;;;;;;;;;"W";"F";;5
6;;1427;"CM 1x";"CM 1x";"CM 1x";"Coastel";"CM";"C";"1x";;;;441;;;;;;;;;;"M";"M";;1
7;;1428;"CM 2x";"CM 2x";"CM 2x";"Coastel";"CM";"C";"2x";;;;440;;;;;;;;;;"M";"M";;2
8;;1429;"CM 4x+";"CM 4x+";"CM 4x+";"Coastel";"CM";"C";"4x+";;;;439;;;;;;;;;;"M";"M";;5
9;;1430;"CMix 2x";"CMix 2x";"CMix 2x";"Coastel";"Cmix";"C";"2x";;;;443;;;;;;;;;;"M/W";"M/F";;2
10;;1431;"CMix 4x+";"CMix 4x+";"CMix 4x+";"Coastel";"Cmix";"C";"4x+";;;;442;;;;;;;;;;"M/W";"M/F";;5
11;;1432;"Coastal Frauen-Doppelvierer mit Steuerfrau/-mann";"CF 4x+";"CF 4x+";"Coastel";"CF";"C";"4x+";;;;436;;;;;;;;;;"W";"F";;5
12;;1433;"Coastal Frauen-Doppelzweier";"CF 2x";"CF 2x";"Coastel";"CF";"C";"2x";;;;437;;;;;;;;;;"W";"F";;2
13;;1434;"Coastal Frauen-Einer";"CF 1x";"CF 1x";"Coastel";"CF";"C";"1x";;;;438;;;;;;;;;;"W";"F";;1
14;;1435;"Coastal Männer-Doppelvierer mit Steuerfrau/-mann";"CM 4x+";"CM 4x+";"Coastel";"CM";"C";"4x+";;;;439;;;;;;;;;;"M";"M";;5
15;;1436;"Coastal Männer-Doppelzweier";"CM 2x";"CM 2x";"Coastel";"CM";"C";"2x";;;;440;;;;;;;;;;"M";"M";;2
16;;1437;"Coastal Männer-Einer";"CM 1x";"CM 1x";"Coastel";"CM";"C";"1x";;;;441;;;;;;;;;;"M";"M";;1
17;;1438;"Coastal Mixed-Doppelvierer mit Steuerfrau/-mann";"CMix 4x+";"CMix 4x+";"Coastel";"Cmix";"C";"4x+";;;;442;;;;;;;;;;"M/W";"M/F";;5
