ID_MSACCESS;Datum;Regatta;Jahr;Wasser-Ergo;Original-Reg-Text;Bermerkung;Saison;Oeffentlich;Zeitformat;Zwischenzeiten;MasterID;EnemyMine;use;2ter_Durchlauf;PDFForm;anlegeDatum
1;12/17/2023 00:00:00.0000000;BerlinErg17Dez2023;2023;Erg;25-berliner-indoor-rowing-ergebnisse-2023-12-17;;23/24;1;;Nein;ja;ja;;;;
2;12/10/2022 00:00:00.0000000;BerlinErg10Dez2022;2022;Erg;24._Berliner_Indoor_Rowing_Open-Regattaergebnis-2022-12-10;;22/23;1;;Nein;ja;ja;;;;
3;01/13/2024 00:00:00.0000000;NordDeuErg14Jan2024;2024;Erg;NordDeuErg14Jan2024;;23/24;1;;Ja;ja;ja;;;;
4;01/14/2023 00:00:00.0000000;NordDeuErg15Jan2023;2023;Erg;NordDeuErg15Jan2023;;22/23;1;;Ja;ja;ja;;;;
5;01/21/2023 00:00:00.0000000;MittelDeuErg21Jan2023;2023;Erg;Mitteldeutsche Ruderergometer-Meisterschaft 21. Januar 2023;;22/23;1;;nein;ja;ja;;;;
6;02/05/2023 00:00:00.0000000;KettwigErg6Feb2023;2023;Erg;Kettwig ERGO DM 2023;;22/23;1;;ja;ja;ja;;;;
7;01/28/2024 00:00:00.0000000;LudwigErg28Jan2024;2024;Erg;17. Ergo-Cup Rhein-Neckar 2024;;23/24;1;;ja;ja;ja;;;;
8;06/22/2023 00:00:00.0000000;DJM Essen 2023;2023;Rudern;DJM Essen 2023;;23;1;;ja;ja;ja;;;;
9;02/14/2021 00:00:00.0000000;KettwigErgo14Feb2021;2021;Erg;Deutsche Ergo 14. Feb. 2021;;20/21;1;;;ja;ja;;;;
10;02/20/2022 00:00:00.0000000;KettwigErgo20Feb2022;2022;Erg;Deutsche Ergo 20. Feb. 2022 Online;;21/22;1;;;ja;ja;;;;
11;02/04/2024 00:00:00.0000000;KettwigERGO4Feb2024;2024;Erg;Deutsche ERGO 4. Feb. 2024;;23/24;1;;;ja;ja;;;;
12;01/21/2024 00:00:00.0000000;MittelDeuErg21Jan2024;2024;Erg;Mitteldeutsche Ruderergometer-Meisterschaft 2024;;23/24;1;;nein;ja;ja;;;;
13;05/03/2023 00:00:00.0000000;Luebeck3Mai2023;2023;Rudern;Luebeck3Mai2023;3000/1000/500/350;23;1;MM:SS.ZZ;nein;ja;ja;;;;
15;12/02/2000 00:00:00.0000000;ErgDMBerlin2000;2000;Erg;Deutsche Ergometer-Meisterschaften Berlin 2Dez2000;;20/21;1;;;ja;ja;;;;
16;04/03/2022 00:00:00.0000000;LeipzigLS5Apr2022;2022;Rudern;Leipzig LS 5Apr2022;6000;22;1;MM:SS;ja;ja;ja;ja;;;
17;04/04/2023 00:00:00.0000000;LeipzigLS4Apr2023;2023;Rudern;Leipzig LS 4Apr2023;6000;23;1;MM:SS;ja;ja;ja;ja;;;
18;04/08/2018 00:00:00.0000000;LeipzigLS8Apr2018;2018;Rudern;Ls Leipzig 8Apr2018;6000;18;1;MM:SS;ja;ja;ja;;;;
19;04/02/2017 00:00:00.0000000;LeipzigLS2Apr2017;2017;Rudern;Leipzig LS 2Apr2017;6000;17;1;MM:SS;ja;ja;ja;;;;
20;03/29/2015 00:00:00.0000000;LeipzigLS29Mrz2015;2015;Rudern;Leipzig LS 30Mrz2015;6000;15;1;MM:SS;ja;ja;ja;;;;
21;09/02/2007 00:00:00.0000000;LimburgSep2007;2007;Rudern;LimburgSep2007;500;07;1;;;ja;ja;;;;
22;04/07/2024 00:00:00.0000000;LeipzigLS7Apr2024;2024;Rudern;LSLEIPZIG_7Apr2024;6000;24;1;MM:SS;ja;ja;ja;ja;;;
23;12/02/2023 00:00:00.0000000;DortErg3Dez2023;2023;Erg;ERGO Dortmund 2Dez2023;;23/24;1;;;ja;ja;ja;;;
24;04/23/2023 00:00:00.0000000;Schoko41_23Apr2023;2023;Rudern;Oberrheinische Frühregatta 23Apr2023;3000/1500/1000;23;1;MM:SS.ZZ;;ja;ja;;;;
