"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
1;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 e.V. im Sportverein Halle";"HRBN";"böll";;1;"H";"K";88
2;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 im Sportverein Halle";"HRBN";"böll";;1;"H";"K";83
3;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 e.V. im SV Halle";"HRBN";"böll";;1;"H";"K";79
4;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 e.V. im SV Saale";"HRBN";"böll";;1;"H";"K";79
5;60017;"Deutsche Sporthochschule Köln, Institut für Outdoor Sport und Umweltforschung";"DSHS";"Köln";"institu";2;"D";"K";77
6;60019;"Technische Universität Dortmund, Institut für Sport und Sportwissenschaften";"UniDo";"Dortm";"techn";2;"T";"K";75
7;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 im SV Halle";"HRBN";"böll";;1;"H";"K";74
8;11929;"Ruderriege der ATV Bonn und Gemeinschaft der Förderer des Gothen-Schwaben";"ATVB";"schwaben";"gothen";2;"R";"K";73
9;11981;"Förderverein für Freizeit und Sport am Kopernikus-Gymnasium Rheine e.V.";"FVKG";"rheine";"koper";2;"F";"K";71
10;12411;"Rudervereinigung Kappeln im Turn- und Sportverein Kappeln von 1876 e.V.";"RVK";"Kappeln";;1;"R";"K";71
11;60008;"Georg-August-Universität Göttingen, Zentrale Einrichtung Hochschulsport";"UniGö";"Göttingen";"georg";2;"G";"K";71
12;16414;"Schüler-Ruder-Riege im VDF des Leibniz-Gymnasiums in Bad Schwartau e.V.";"SRRLG";"vdh";"Leibni";2;"S";"K";71
13;12411;"Rudervereinigung Kappeln im Turn- und Sportverein Kappeln von 1876 e.V.";"RVK";"Kappeln";;1;"R";"K";71
14;11708;"Hochschulsportgemeinschaft der Universität Rostock e.V. Ruderabteilung";"HSGUR";"Rostock";"hoschul";2;"H";"K";70
15;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v. 1874 e.V. im";"HRBN";"böll";;1;"H";"K";70
16;40004;"Frankfurter Regatta-Verein von 1888 / Ruderleistungsgemeinschaft e.V.";"FRVR";"Frankfurt";"regatta";2;"F";"K";69
17;12303;"Hallesche-Ruder-Vereinigung Böllberg v. 1884 u. Nelson v.  1874 e.V.";"HRBN";"böll";;1;"H";"K";68
18;11514;"Sportvereinigung Polizei Hamburg von 1920 e.V. Wassersport-Abteilung";"WSAP";"Polizei";"hambu";2;"S";"K";68
19;12307;"Zschornewitzer Ruderclub von 1954 im SV ""Turbine"" Zschornewitz e.V.";"ZRC";"Zschor";;1;"Z";"K";67
20;16428;"Schülerwassersportverein am Hans-Geiger-Gymnasium v. 1976 Kiel e.V.";"SWSV HGG";"Kiel";"hans";2;"S";"K";67
21;12307;"Zschornewitzer Ruderclub v. 1954 im SV ""Turbine"" Zschornewitz e.V.";"ZRC";"Zschor";;1;"Z";"K";66
22;12411;"Rudervereinigung Kappeln im Turn- und Sportverein Kappeln von 1876";"RVK";"Kappeln";;1;"R";"K";66
23;16414;"Schüler-Ruder-Riege im VDF des Leibniz-Gymnasiums in Bad Schwartau";"SRRLG";"schartau";"Leibni";2;"S";"K";66
