"IDZeilenTyp";"QuellWort";"Nutz_TypVersion";"TypNutzkurz";"BemerkungfürNutzung";"Rückwärts";"Vergleich_Ganz_Teil";"Inhalt_in_Feld_schreiben";"Länge_QuellWort";"SuchBeginnTeilstring";"AnlegeDatum";"PDFForm"
2513;"JW1x Junior Women's Single Sculls JM1x Junior Men's Single Sculls JW2x Junior Women's Double Sculls JM2x Junior Men's Double Sculls";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";131;0;30.11.2025 00:00:00;"FISA"
2514;"JW4x Junior Women's Quadruple Sculls JM4x Junior Men's Quadruple Sculls JW8+ Junior Women's Eight JM8+ Junior Men's Eight";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";121;0;30.11.2025 00:00:00;"FISA"
2515;"JW1x Junior Women's Single Sculls JM1x Junior Men's Single Sculls JW2- Junior Women's Pair JM2- Junior Men's Pair";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";113;0;30.11.2025 00:00:00;"FISA"
2516;"JW1x Junior Women's Single Sculls JM1x Junior Men's Single Sculls JW2- Junior Women's Pair JM2- Junior Men's Pair";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";113;0;30.11.2025 00:00:00;"FISA"
2517;"JW2x Junior Women's Double Sculls JM2x Junior Men's Double Sculls JW4- Junior Women's Four JM4- Junior Men's Four";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";113;0;30.11.2025 00:00:00;"FISA"
2518;"JW4x U19 Women's Quadruple Sculls JM4x U19 Men's Quadruple Sculls JW8+ U19 Women's Eight JM8+ U19 Men's Eight";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";109;0;30.11.2025 00:00:00;"FISA"
2519;"JW1x U19 Women's Single Sculls JM1x U19 Men's Single Sculls JW2- U19 Women's Pair JM2- U19 Men's Pair";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";101;0;30.11.2025 00:00:00;"FISA"
2520;"JW2x U19 Women's Double Sculls JM2x U19 Men's Double Sculls JW4- U19 Women's Four JM4- U19 Men's Four";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";101;0;30.11.2025 00:00:00;"FISA"
2521;"Schweinfurter Ruder-Club Franken von Report erstellt: SO 20 JUL 2025 / 17:12 Version 2.0";"x";"SeitenEnde";"keine Nutzung";;"g";"no";88;0;30.11.2025 00:00:00;"Stoeb"
2522;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";"x";"SeitenEnde";"keine Nutzung";;"g";"no";83;0;30.11.2025 00:00:00;"Stoeb"
2523;"Breisacher Ruderverein e.V.	Report erstellt: MI 16 JUL 2025 / 21:08	Version 5.0";"x";"SeitenEnde";"keine Nutzung";;"g";"no";79;0;30.11.2025 00:00:00;"Stoeb"
2524;"Progression System: 1-3 to Final A. Remaining crews to Final B.";"Progression";"Progression";"keine Nutzung";;"g";"no";63;0;30.11.2025 00:00:00;"FISA"
2525;"P Preliminary Race SR Star Race H Heat Q Quarterfinal";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";53;0;30.11.2025 00:00:00;"FISA"
2526;"Rank Lane Ctry Name 500m 1000m 1500m 2000m Total";"x";"RennÜberchrift";"keine Nutzung";;"g";"no";48;1;30.11.2025 00:00:00;"FISA"
2527;"No. Number QT Qualified by Time in Quarterfinals";"x";"SeitenEnde";"keine Nutzung";;"g";"no";48;0;30.11.2025 00:00:00;"FISA"
2528;"Event Code Event Seat Name Date of Birth";"x";"x";"keine weitere Bearbeitung";;"g";"no";40;0;30.11.2025 00:00:00;"FISA"
2529;"Trakai, Lithuania 6 - 10 August 2025";"Seitenanfang";"Seitenanfang";"keine Nutzung";;"g";"no";37;1;30.11.2025 00:00:00;"FISA"
2530;"Trakai Lithuania 6 - 10 August 2025";"Seitenanfang";"Seitenanfang";"keine Nutzung";;"g";"no";36;1;30.11.2025 00:00:00;"FISA"
2531;"Rang StNr Boot/Mannschaft Ergebnis";"x";"Überschrift";"keine Nutzung";;"g";"no";34;0;30.11.2025 00:00:00;"Stoeb"
2532;"Race Start Event Lanes Progression";"x";"Progression";"keine Nutzung";;"g";"no";34;0;30.11.2025 00:00:00;"FISA"
2533;"nicht zu Stande gekommene Rennen";"x";"Ende";"schreibe Primary Key in Variable ENDEmit_X";;"g";"no";32;0;30.11.2025 00:00:00;"Stoeb"
2534;"Lane Ctry Name Date of Birth";"x";"Überschrift";"keine Nutzung";;"g";"no";28;0;30.11.2025 00:00:00;"FISA"
2535;"Hauptrennen, Altersklasse H";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2536;"Hauptrennen, Altersklasse F";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2537;"Hauptrennen, Altersklasse B";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2538;"Hauptrennen, Altersklasse A";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2539;"Hauptrennen, Altersklasse E";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2540;"Hauptrennen, Altersklasse G";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2541;"Hauptrennen, Altersklasse C";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2542;"Hauptrennen, Altersklasse D";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";27;0;30.11.2025 00:00:00;"Stoeb"
2543;"Vorlauf 2, Altersklasse D";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";25;0;30.11.2025 00:00:00;"Stoeb"
2544;"Vorlauf 1, Altersklasse D";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";25;0;30.11.2025 00:00:00;"Stoeb"
2545;"World Rowing Data Service";"x";"x";"keine weitere Bearbeitung";;"g";"no";25;0;30.11.2025 00:00:00;"FISA"
2546;"Race Progression System";"x";"Progression";"keine Nutzung";;"g";"no";23;0;30.11.2025 00:00:00;"FISA"
2547;"Race Start Event Lanes";"x";"Progression";"keine Nutzung";;"g";"no";22;0;30.11.2025 00:00:00;"FISA"
2548;"Finale, Altersklasse D";"Abt";"Abt";"weitere Bearbeitung";;"g";"AbtLK";22;0;30.11.2025 00:00:00;"Stoeb"
2549;"Entry List by Country";"x";"x";"keine weitere Bearbeitung";;"g";"no";21;0;30.11.2025 00:00:00;"FISA"
2550;"S Semifinal F Final";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";19;0;30.11.2025 00:00:00;"FISA"
2551;"Start List Summary";"x";"x";"keine weitere Bearbeitung";;"g";"no";18;0;30.11.2025 00:00:00;"FISA"
2552;"Code Date of Birth";"x";"Überschrift";"keine Nutzung";;"g";"no";18;0;30.11.2025 00:00:00;"FISA"
2553;"DNS Did Not Start";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";17;0;30.11.2025 00:00:00;"FISA"
2554;"Race Progression";"x";"Progression";"keine Nutzung";;"g";"no";16;0;30.11.2025 00:00:00;"FISA"
2555;"1-3->FA 4-6->FB";"Progression";"Progression";"keine Nutzung";;"g";"no";15;0;30.11.2025 00:00:00;"FISA"
2556;"b bow s stroke";"Legend";"SeitenEnde";"keine Nutzung";;"g";"no";14;0;30.11.2025 00:00:00;"FISA"
