ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
1;;RG Eberbach;7;2025-11-29 16:37:31
2;;RV Hellas Offenbach;9;2025-11-29 16:37:31
3;;Hanauer RG;11;2025-11-29 16:37:31
4;;Hanauer RC Hassia;13;2025-11-29 16:37:31
5;;Frankfurter RG Oberrad;17;2025-11-29 16:37:31
6;;Nassovia Höchst;19;2025-11-29 16:37:31
7;;Hanauer RG;21;2025-11-29 16:37:31
8;;RG Eberbach;23;2025-11-29 16:37:31
9;;RC Karlstadt;27;2025-11-29 16:37:31
10;;Wormser RC;29;2025-11-29 16:37:31
11;;RG Wetzlar;31;2025-11-29 16:37:31
12;;Frankfurter RG Oberrad;35;2025-11-29 16:37:31
13;;Hanauer RG;37;2025-11-29 16:37:31
14;;Hanauer RG;39;2025-11-29 16:37:31
15;;Frankfurter RC;41;2025-11-29 16:37:31
16;;Hanauer RC Hassia;48;2025-11-29 16:37:31
17;;Wormser RC;50;2025-11-29 16:37:31
18;;RG Wetzlar;52;2025-11-29 16:37:31
19;;RG Wetzlar;54;2025-11-29 16:37:31
20;;Marburger RV;58;2025-11-29 16:37:31
21;;Hanauer RG;60;2025-11-29 16:37:31
22;;WSV Hellas Gießen;62;2025-11-29 16:37:31
23;;RG Wetzlar;71;2025-11-29 16:37:31
24;;Frankfurter RG Germania;73;2025-11-29 16:37:31
25;;RC Möve Grossauheim;75;2025-11-29 16:37:31
26;;Frankfurter RG Oberrad;77;2025-11-29 16:37:31
27;;Frankfurter RG Germania;81;2025-11-29 16:37:31
28;;Frankfurter RG Germania;83;2025-11-29 16:37:31
29;;Frankfurter RG Oberrad;85;2025-11-29 16:37:31
30;;SG Wiking;87;2025-11-29 16:37:31
31;;Hanauer RG;91;2025-11-29 16:37:31
32;;Frankfurter RC;93;2025-11-29 16:37:31
33;;Mühlheimer RV;95;2025-11-29 16:37:31
34;am Main-Bürgel;WSV Offenbach am Main-Bürgel;108;2025-11-29 16:37:31
35;;Hanauer RC Hassia;110;2025-11-29 16:37:31
36;;RC Möve Grossauheim;112;2025-11-29 16:37:31
37;;Limburger ClfW;116;2025-11-29 16:37:31
38;am Main-Bürgel;WSV Offenbach am Main-Bürgel;118;2025-11-29 16:37:31
39;;SG Wiking;120;2025-11-29 16:37:31
40;;Nassovia Höchst;124;2025-11-29 16:37:31
41;;Limburger ClfW;126;2025-11-29 16:37:31
42;;RG Wetzlar;128;2025-11-29 16:37:31
43;;SG Wiking;130;2025-11-29 16:37:31
44;;Limburger ClfW;134;2025-11-29 16:37:31
45;;RG Eberbach;136;2025-11-29 16:37:31
46;;WSV Hellas Gießen;138;2025-11-29 16:37:31
