ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
1;RG Eberbach;7;;11004;RG Eberbach;2025-11-29 16:37:31
2;RV Hellas Offenbach;9;;11638;RV Hellas Offenbach;2025-11-29 16:37:31
3;Hanauer RG;11;;11627;Hanauer RG;2025-11-29 16:37:31
4;Hanauer RC Hassia;13;;11626;Hanauer RC Hassia;2025-11-29 16:37:31
5;Frankfurter RG Oberrad;17;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:31
6;Nassovia Höchst;19;;11612;Nassovia Höchst;2025-11-29 16:37:31
7;Hanauer RG;21;;11627;Hanauer RG;2025-11-29 16:37:31
8;RG Eberbach;23;;11004;RG Eberbach;2025-11-29 16:37:31
9;RC Karlstadt;27;;11107;RC Karlstadt;2025-11-29 16:37:31
10;Wormser RC;29;;12038;Wormser RC;2025-11-29 16:37:31
11;RG Wetzlar;31;;11647;RG Wetzlar;2025-11-29 16:37:31
12;Frankfurter RG Oberrad;35;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:31
13;Hanauer RG;37;;11627;Hanauer RG;2025-11-29 16:37:31
14;Hanauer RG;39;;11627;Hanauer RG;2025-11-29 16:37:31
15;Frankfurter RC;41;;11616;Frankfurter RC;2025-11-29 16:37:31
16;Hanauer RC Hassia;48;;11626;Hanauer RC Hassia;2025-11-29 16:37:31
17;Wormser RC;50;;12038;Wormser RC;2025-11-29 16:37:31
18;RG Wetzlar;52;;11647;RG Wetzlar;2025-11-29 16:37:31
19;RG Wetzlar;54;;11647;RG Wetzlar;2025-11-29 16:37:31
20;Marburger RV;58;;11636;Marburger RV;2025-11-29 16:37:31
21;Hanauer RG;60;;11627;Hanauer RG;2025-11-29 16:37:31
22;WSV Hellas Gießen;62;;11623;WSV Hellas Gießen;2025-11-29 16:37:31
23;RG Wetzlar;71;;11647;RG Wetzlar;2025-11-29 16:37:31
24;Frankfurter RG Germania;73;;11610;Frankfurter RG Germania;2025-11-29 16:37:31
25;RC Möve Grossauheim;75;;11625;RC Möve Grossauheim;2025-11-29 16:37:31
26;Frankfurter RG Oberrad;77;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:31
27;Frankfurter RG Germania;81;;11610;Frankfurter RG Germania;2025-11-29 16:37:31
28;Frankfurter RG Germania;83;;11610;Frankfurter RG Germania;2025-11-29 16:37:31
29;Frankfurter RG Oberrad;85;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:31
30;SG Wiking;87;;11643;SG Wiking;2025-11-29 16:37:31
31;Hanauer RG;91;;11627;Hanauer RG;2025-11-29 16:37:31
32;Frankfurter RC;93;;11616;Frankfurter RC;2025-11-29 16:37:31
33;Mühlheimer RV;95;;11637;Mühlheimer RV;2025-11-29 16:37:31
34;WSV Offenbach am Main-Bürgel;108;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:31
35;Hanauer RC Hassia;110;;11626;Hanauer RC Hassia;2025-11-29 16:37:31
36;RC Möve Grossauheim;112;;11625;RC Möve Grossauheim;2025-11-29 16:37:31
37;Limburger ClfW;116;;11635;Limburger ClfW;2025-11-29 16:37:31
