ID;Dateiname;Typ;Seite;Zeile;Inhalt;Zeichen;Verarbeitet am;Status
1;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;1;51. GROSSAUHEIMER;17;2025-11-27 05:42:07.854199;verarbeitet
1902;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;1;51. GROSSAUHEIMER;17;2025-11-27 05:48:02.046805;verarbeitet
2;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;2;KURZSTRECKEN-REGATTA;20;2025-11-27 05:42:07.854870;verarbeitet
1903;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;2;KURZSTRECKEN-REGATTA;20;2025-11-27 05:48:02.048610;verarbeitet
3;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;3;16. & 17.September 2023;23;2025-11-27 05:42:07.854891;verarbeitet
1904;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;3;16. & 17.September 2023;23;2025-11-27 05:48:02.048634;verarbeitet
4;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;4;AM BOOTSHAUS RC »MÖVE« 1919 e.V. GROSSAUHEIM;44;2025-11-27 05:42:07.854896;verarbeitet
1905;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;4;AM BOOTSHAUS RC »MÖVE« 1919 e.V. GROSSAUHEIM;44;2025-11-27 05:48:02.048639;verarbeitet
5;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;5;Offene Verbandsregatta des DRV;30;2025-11-27 05:42:07.854899;verarbeitet
1906;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;5;Offene Verbandsregatta des DRV;30;2025-11-27 05:48:02.048643;verarbeitet
6;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;6;/ , };5;2025-11-27 05:42:07.854902;verarbeitet
1907;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;6;/ , };5;2025-11-27 05:48:02.048646;verarbeitet
7;51-grossauheimer-kurzstrecken-regatta-meldeergebnis-meldeergebnis-2023-2023-09-19_Seite_01.jpf;OCR;-;7;z li I NN;9;2025-11-27 05:42:07.854905;verarbeitet
