id;extracted_data_id;zeile_inhalt;zeile_inhalt_orig;regex_pattern;quell_tabelle;quell_feld;Hit_Platz;Hit_StartNr;Hit_Zeit;zeile_inhalt_Typ;gefunden_am
1;7;RG Eberbach;1 RG Eberbach 01:43.73 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;5;01:43.73;Boot;2025-11-29 19:23:02.108609
2;9;RV Hellas Offenbach;2 RV Hellas Offenbach 01:50.78 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;1;01:50.78;Boot;2025-11-29 19:23:02.119976
3;11;Hanauer RG;3 Hanauer RG - Boot 1 - 01:51.64 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;2;01:51.64;Boot;2025-11-29 19:23:02.120031
4;13;Hanauer RC Hassia;4 Hanauer RC Hassia 01:53.98 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;4;01:53.98;Boot;2025-11-29 19:23:02.120065
5;17;Frankfurter RG Oberrad;1 Frankfurter RG Oberrad - Boot 1 - 01:45.78 7;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;7;01:45.78;Boot;2025-11-29 19:23:02.120096
6;19;Nassovia Höchst;2 Nassovia Höchst 01:49.12 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;8;01:49.12;Boot;2025-11-29 19:23:02.120126
7;21;Hanauer RG;3 Hanauer RG - Boot 2 - 01:51.38 6;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;6;01:51.38;Boot;2025-11-29 19:23:02.120155
8;23;RG Eberbach;4 RG Eberbach 01:54.99 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;9;01:54.99;Boot;2025-11-29 19:23:02.120182
9;27;RC Karlstadt;1 RC Karlstadt 01:48.84 11;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;11;01:48.84;Boot;2025-11-29 19:23:02.120212
10;29;Wormser RC;2 Wormser RC 01:49.51 12;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;12;01:49.51;Boot;2025-11-29 19:23:02.120240
11;31;RG Wetzlar;3 RG Wetzlar 01:50.58 10;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;10;01:50.58;Boot;2025-11-29 19:23:02.120267
12;35;Frankfurter RG Oberrad;1 Frankfurter RG Oberrad - Boot 2 - 01:56.31 13;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;13;01:56.31;Boot;2025-11-29 19:23:02.120296
