ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
1;1 01:43.73 5;1 RG Eberbach 01:43.73 5;7;2025-11-29 10:16:55
2;2 01:50.78 1;2 RV Hellas Offenbach 01:50.78 1;9;2025-11-29 10:16:55
3;3 - Boot 1 - 01:51.64 2;3 Hanauer RG - Boot 1 - 01:51.64 2;11;2025-11-29 10:16:55
4;4 01:53.98 4;4 Hanauer RC Hassia 01:53.98 4;13;2025-11-29 10:16:55
5;1 - Boot 1 - 01:45.78 7;1 Frankfurter RG Oberrad - Boot 1 - 01:45.78 7;17;2025-11-29 10:16:55
6;2 01:49.12 8;2 Nassovia Höchst 01:49.12 8;19;2025-11-29 10:16:55
7;3 - Boot 2 - 01:51.38 6;3 Hanauer RG - Boot 2 - 01:51.38 6;21;2025-11-29 10:16:55
8;4 01:54.99 9;4 RG Eberbach 01:54.99 9;23;2025-11-29 10:16:55
9;1 01:48.84 11;1 RC Karlstadt 01:48.84 11;27;2025-11-29 10:16:55
10;2 01:49.51 12;2 Wormser RC 01:49.51 12;29;2025-11-29 10:16:55
11;3 01:50.58 10;3 RG Wetzlar 01:50.58 10;31;2025-11-29 10:16:55
12;1 - Boot 2 - 01:56.31 13;1 Frankfurter RG Oberrad - Boot 2 - 01:56.31 13;35;2025-11-29 10:16:55
13;2 - Boot 4 - 01:57.42 15;2 Hanauer RG - Boot 4 - 01:57.42 15;37;2025-11-29 10:16:55
14;3 - Boot 3 - 01:58.00 14;3 Hanauer RG - Boot 3 - 01:58.00 14;39;2025-11-29 10:16:55
15;4 02:04.32 16;4 Frankfurter RC 02:04.32 16;41;2025-11-29 10:16:55
16;1 01:38.28 1;1 Hanauer RC Hassia 01:38.28 1;48;2025-11-29 10:16:55
17;2 01:41.48 3;2 Wormser RC 01:41.48 3;50;2025-11-29 10:16:55
18;3 01:46.33 2;3 RG Wetzlar 01:46.33 2;52;2025-11-29 10:16:55
19;4 02:05.99 7;4 RG Wetzlar 02:05.99 7;54;2025-11-29 10:16:55
20;1 01:43.44 5;1 Marburger RV 01:43.44 5;58;2025-11-29 10:16:55
21;2 01:47.64 4;2 Hanauer RG 01:47.64 4;60;2025-11-29 10:16:55
22;3 01:56.33 6;3 WSV Hellas Gießen 01:56.33 6;62;2025-11-29 10:16:55
23;1 01:43.16 5;1 RG Wetzlar 01:43.16 5;71;2025-11-29 10:16:55
24;2 - Boot 1 - 01:43.60 4;2 Frankfurter RG Germania - Boot 1 - 01:43.60 4;73;2025-11-29 10:16:55
25;3 01:43.94 1;3 RC Möve Grossauheim 01:43.94 1;75;2025-11-29 10:16:55
26;4 - Boot 1 - 01:46.43 2;4 Frankfurter RG Oberrad - Boot 1 - 01:46.43 2;77;2025-11-29 10:16:55
27;1 - Boot 2 - 01:45.58 8;1 Frankfurter RG Germania - Boot 2 - 01:45.58 8;81;2025-11-29 10:16:55
28;2 - Boot 3 - 01:52.53 10;2 Frankfurter RG Germania - Boot 3 - 01:52.53 10;83;2025-11-29 10:16:55
29;3 - Boot 2 - 02:01.15 9;3 Frankfurter RG Oberrad - Boot 2 - 02:01.15 9;85;2025-11-29 10:16:55
30;4 - Boot 2 - 02:14.41 6;4 SG Wiking - Boot 2 - 02:14.41 6;87;2025-11-29 10:16:55
31;1 01:52.22 11;1 Hanauer RG 01:52.22 11;91;2025-11-29 10:16:55
32;2 02:02.07 13;2 Frankfurter RC 02:02.07 13;93;2025-11-29 10:16:55
33;3 02:09.46 12;3 Mühlheimer RV 02:09.46 12;95;2025-11-29 10:16:55
34;1 am Main-Bürgel - Boot 1 - 01:57.94 2;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:57.94 2;108;2025-11-29 10:16:55
35;2 - Boot 1 - 01:59.16 3;2 Hanauer RC Hassia - Boot 1 - 01:59.16 3;110;2025-11-29 10:16:55
36;3 02:00.66 1;3 RC Möve Grossauheim 02:00.66 1;112;2025-11-29 10:16:55
37;1 - Boot 1 - 01:56.16 5;1 Limburger ClfW - Boot 1 - 01:56.16 5;116;2025-11-29 10:16:55
38;2 am Main-Bürgel - Boot 2 - 02:00.90 8;2 WSV Offenbach am Main-Bürgel - Boot 2 - 02:00.90 8;118;2025-11-29 10:16:55
39;3 - Boot 1 - 02:02.73 4;3 SG Wiking - Boot 1 - 02:02.73 4;120;2025-11-29 10:16:55
40;1 01:57.97 12;1 Nassovia Höchst 01:57.97 12;124;2025-11-29 10:16:55
41;2 - Boot 2 - 01:59.33 9;2 Limburger ClfW - Boot 2 - 01:59.33 9;126;2025-11-29 10:16:55
42;3 02:05.52 11;3 RG Wetzlar 02:05.52 11;128;2025-11-29 10:16:55
43;4 - Boot 2 - 02:11.97 10;4 SG Wiking - Boot 2 - 02:11.97 10;130;2025-11-29 10:16:55
44;1 - Boot 3 - 01:59.75 13;1 Limburger ClfW - Boot 3 - 01:59.75 13;134;2025-11-29 10:16:55
45;2 02:00.70 14;2 RG Eberbach 02:00.70 14;136;2025-11-29 10:16:55
46;3 02:03.63 15;3 WSV Hellas Gießen 02:03.63 15;138;2025-11-29 10:16:55
47;1 02:01.59 19;1 RC Aschaffenburg 02:01.59 19;142;2025-11-29 10:16:55
48;2 02:18.30 18;2 Hanauer RG 02:18.30 18;144;2025-11-29 10:16:55
49;1 01:46.24 3;1 Hanauer RC Hassia 01:46.24 3;153;2025-11-29 10:16:55
50;2 Rgm. / 01:46.24 1;2 Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt 01:46.24 1;156;2025-11-29 10:16:55
51;3 01:49.23 2;3 Frankfurter RC 01:49.23 2;159;2025-11-29 10:16:55
52;1 01:31.14 4;1 Hanauer RC Hassia 01:31.14 4;169;2025-11-29 10:16:55
53;2 01:35.71 5;2 Offenbacher RG Undine 01:35.71 5;171;2025-11-29 10:16:55
54;3 01:37.02 3;3 RG Eberbach 01:37.02 3;173;2025-11-29 10:16:55
55;1 01:47.39 8;1 Marburger RV 01:47.39 8;181;2025-11-29 10:16:55
56;2 01:50.72 3;2 Hanauer RC Hassia 01:50.72 3;183;2025-11-29 10:16:55
57;1 01:52.70 4;1 Frauen-RV Freiweg Frankfurt 01:52.70 4;187;2025-11-29 10:16:55
58;2 01:55.00 5;2 Frankfurter RG Borussia 01:55.00 5;189;2025-11-29 10:16:55
59;3 01:59.95 7;3 RG Wetzlar 01:59.95 7;191;2025-11-29 10:16:55
60;4 02:08.33 6;4 RV Hellas Offenbach 02:08.33 6;193;2025-11-29 10:16:55
61;1 - Boot 1 - 02:04.12 1;1 RC Aschaffenburg - Boot 1 - 02:04.12 1;205;2025-11-29 10:16:55
62;2 - Boot 1 - 02:13.07 2;2 Limburger ClfW - Boot 1 - 02:13.07 2;207;2025-11-29 10:16:55
63;3 - Boot 1 - 02:13.48 4;3 SG Wiking - Boot 1 - 02:13.48 4;209;2025-11-29 10:16:55
64;4 - Boot 2 - 02:26.07 5;4 RC Aschaffenburg - Boot 2 - 02:26.07 5;211;2025-11-29 10:16:55
65;1 02:12.01 8;1 Hanauer RC Hassia 02:12.01 8;215;2025-11-29 10:16:55
66;2 - Boot 2 - 02:14.35 7;2 Limburger ClfW - Boot 2 - 02:14.35 7;217;2025-11-29 10:16:55
67;3 - Boot 2 - 02:24.08 6;3 SG Wiking - Boot 2 - 02:24.08 6;219;2025-11-29 10:16:55
68;1 - Boot 1 - 02:02.70 10;1 RC Karlstadt - Boot 1 - 02:02.70 10;223;2025-11-29 10:16:55
69;2 - Boot 2 - 02:12.15 11;2 RG Wetzlar - Boot 2 - 02:12.15 11;225;2025-11-29 10:16:55
70;3 - Boot 3 - 02:33.63 9;3 Limburger ClfW - Boot 3 - 02:33.63 9;227;2025-11-29 10:16:55
71;1 - Boot 2 - 02:16.43 14;1 Hanauer RG - Boot 2 - 02:16.43 14;231;2025-11-29 10:16:55
72;2 - Boot 2 - 02:25.19 13;2 Mühlheimer RV - Boot 2 - 02:25.19 13;233;2025-11-29 10:16:55
73;3 - Boot 1 - 02:26.41 12;3 Hanauer RG - Boot 1 - 02:26.41 12;235;2025-11-29 10:16:55
74;1 - Boot 1 - 02:10.90 17;1 Mühlheimer RV - Boot 1 - 02:10.90 17;239;2025-11-29 10:16:55
75;2 - Boot 2 - 02:12.77 15;2 RC Karlstadt - Boot 2 - 02:12.77 15;241;2025-11-29 10:16:55
76;3 - Boot 3 - 02:29.32 16;3 Hanauer RG - Boot 3 - 02:29.32 16;243;2025-11-29 10:16:55
77;1 - Boot 3 - 02:09.35 21;1 Mühlheimer RV - Boot 3 - 02:09.35 21;247;2025-11-29 10:16:55
78;2 - Boot 4 - 02:12.02 18;2 Hanauer RG - Boot 4 - 02:12.02 18;249;2025-11-29 10:16:55
79;3 - Boot 5 - 02:18.80 20;3 Hanauer RG - Boot 5 - 02:18.80 20;251;2025-11-29 10:16:55
80;1 01:40.89 1;1 Mühlheimer RV 01:40.89 1;263;2025-11-29 10:16:55
81;2 01:47.15 4;2 Gießener RC Hassia 01:47.15 4;265;2025-11-29 10:16:55
82;3 01:48.39 2;3 Frauen-RV Freiweg Frankfurt 01:48.39 2;267;2025-11-29 10:16:55
83;1 02:10.09 1;1 Hanauer RC Hassia 02:10.09 1;274;2025-11-29 10:16:55
84;2 02:15.18 2;2 Limburger ClfW 02:15.18 2;276;2025-11-29 10:16:55
85;3 02:35.92 4;3 RG Wetzlar 02:35.92 4;278;2025-11-29 10:16:55
86;1 01:58.91 1;1 Frankfurter RG Germania 01:58.91 1;289;2025-11-29 10:16:55
87;2 02:04.01 2;2 Frankfurter RC 02:04.01 2;291;2025-11-29 10:16:55
88;1 02:13.85 4;1 Limburger ClfW 02:13.85 4;297;2025-11-29 10:16:55
89;2 02:16.04 8;2 Hanauer RG 02:16.04 8;299;2025-11-29 10:16:55
90;3 02:17.96 9;3 Frankfurter Ruder- und Kanusport Verein 02:17.96 9;301;2025-11-29 10:16:55
91;1 - Boot 1 - 01:48.99 3;1 Frankfurter RC - Boot 1 - 01:48.99 3;315;2025-11-29 10:16:55
92;2 - Boot 1 - 01:52.99 1;2 Hanauer RC Hassia - Boot 1 - 01:52.99 1;317;2025-11-29 10:16:55
93;3 01:55.50 2;3 RG Eberbach 01:55.50 2;319;2025-11-29 10:16:55
