ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
1;1 01:43.73 5;1 RG Eberbach 01:43.73 5;7;1 01:43.73 5;11004;RG Eberbach;2025-11-29 07:36:28
2;2 01:50.78 1;2 RV Hellas Offenbach 01:50.78 1;9;2 01:50.78 1;11638;RV Hellas Offenbach;2025-11-29 07:36:28
3;3 - Boot 1 - 01:51.64 2;3 Hanauer RG - Boot 1 - 01:51.64 2;11;3 - Boot 1 - 01:51.64 2;11627;Hanauer RG;2025-11-29 07:36:28
4;4 01:53.98 4;4 Hanauer RC Hassia 01:53.98 4;13;4 01:53.98 4;11626;Hanauer RC Hassia;2025-11-29 07:36:28
5;1 - Boot 1 - 01:45.78 7;1 Frankfurter RG Oberrad - Boot 1 - 01:45.78 7;17;1 - Boot 1 - 01:45.78 7;11614;Frankfurter RG Oberrad;2025-11-29 07:36:28
6;2 01:49.12 8;2 Nassovia Höchst 01:49.12 8;19;2 01:49.12 8;11612;Nassovia Höchst;2025-11-29 07:36:28
7;3 - Boot 2 - 01:51.38 6;3 Hanauer RG - Boot 2 - 01:51.38 6;21;3 - Boot 2 - 01:51.38 6;11627;Hanauer RG;2025-11-29 07:36:28
8;4 01:54.99 9;4 RG Eberbach 01:54.99 9;23;4 01:54.99 9;11004;RG Eberbach;2025-11-29 07:36:28
9;1 01:48.84 11;1 RC Karlstadt 01:48.84 11;27;1 01:48.84 11;11107;RC Karlstadt;2025-11-29 07:36:28
10;2 01:49.51 12;2 Wormser RC 01:49.51 12;29;2 01:49.51 12;12038;Wormser RC;2025-11-29 07:36:28
11;3 01:50.58 10;3 RG Wetzlar 01:50.58 10;31;3 01:50.58 10;11647;RG Wetzlar;2025-11-29 07:36:28
12;1 - Boot 2 - 01:56.31 13;1 Frankfurter RG Oberrad - Boot 2 - 01:56.31 13;35;1 - Boot 2 - 01:56.31 13;11614;Frankfurter RG Oberrad;2025-11-29 07:36:28
13;2 - Boot 4 - 01:57.42 15;2 Hanauer RG - Boot 4 - 01:57.42 15;37;2 - Boot 4 - 01:57.42 15;11627;Hanauer RG;2025-11-29 07:36:28
14;3 - Boot 3 - 01:58.00 14;3 Hanauer RG - Boot 3 - 01:58.00 14;39;3 - Boot 3 - 01:58.00 14;11627;Hanauer RG;2025-11-29 07:36:28
15;4 02:04.32 16;4 Frankfurter RC 02:04.32 16;41;4 02:04.32 16;11616;Frankfurter RC;2025-11-29 07:36:28
16;1 01:38.28 1;1 Hanauer RC Hassia 01:38.28 1;48;1 01:38.28 1;11626;Hanauer RC Hassia;2025-11-29 07:36:28
17;2 01:41.48 3;2 Wormser RC 01:41.48 3;50;2 01:41.48 3;12038;Wormser RC;2025-11-29 07:36:28
18;3 01:46.33 2;3 RG Wetzlar 01:46.33 2;52;3 01:46.33 2;11647;RG Wetzlar;2025-11-29 07:36:28
19;4 02:05.99 7;4 RG Wetzlar 02:05.99 7;54;4 02:05.99 7;11647;RG Wetzlar;2025-11-29 07:36:28
20;1 01:43.44 5;1 Marburger RV 01:43.44 5;58;1 01:43.44 5;11636;Marburger RV;2025-11-29 07:36:28
21;2 01:47.64 4;2 Hanauer RG 01:47.64 4;60;2 01:47.64 4;11627;Hanauer RG;2025-11-29 07:36:28
22;3 01:56.33 6;3 WSV Hellas Gießen 01:56.33 6;62;3 01:56.33 6;11623;WSV Hellas Gießen;2025-11-29 07:36:28
23;1 01:43.16 5;1 RG Wetzlar 01:43.16 5;71;1 01:43.16 5;11647;RG Wetzlar;2025-11-29 07:36:28
24;2 - Boot 1 - 01:43.60 4;2 Frankfurter RG Germania - Boot 1 - 01:43.60 4;73;2 - Boot 1 - 01:43.60 4;11610;Frankfurter RG Germania;2025-11-29 07:36:28
25;3 01:43.94 1;3 RC Möve Grossauheim 01:43.94 1;75;3 01:43.94 1;11625;RC Möve Grossauheim;2025-11-29 07:36:28
26;4 - Boot 1 - 01:46.43 2;4 Frankfurter RG Oberrad - Boot 1 - 01:46.43 2;77;4 - Boot 1 - 01:46.43 2;11614;Frankfurter RG Oberrad;2025-11-29 07:36:28
27;1 - Boot 2 - 01:45.58 8;1 Frankfurter RG Germania - Boot 2 - 01:45.58 8;81;1 - Boot 2 - 01:45.58 8;11610;Frankfurter RG Germania;2025-11-29 07:36:28
28;2 - Boot 3 - 01:52.53 10;2 Frankfurter RG Germania - Boot 3 - 01:52.53 10;83;2 - Boot 3 - 01:52.53 10;11610;Frankfurter RG Germania;2025-11-29 07:36:28
29;3 - Boot 2 - 02:01.15 9;3 Frankfurter RG Oberrad - Boot 2 - 02:01.15 9;85;3 - Boot 2 - 02:01.15 9;11614;Frankfurter RG Oberrad;2025-11-29 07:36:28
30;4 - Boot 2 - 02:14.41 6;4 SG Wiking - Boot 2 - 02:14.41 6;87;4 - Boot 2 - 02:14.41 6;11643;SG Wiking;2025-11-29 07:36:28
31;1 01:52.22 11;1 Hanauer RG 01:52.22 11;91;1 01:52.22 11;11627;Hanauer RG;2025-11-29 07:36:28
32;2 02:02.07 13;2 Frankfurter RC 02:02.07 13;93;2 02:02.07 13;11616;Frankfurter RC;2025-11-29 07:36:28
33;3 02:09.46 12;3 Mühlheimer RV 02:09.46 12;95;3 02:09.46 12;11637;Mühlheimer RV;2025-11-29 07:36:28
34;1 am Main-Bürgel - Boot 1 - 01:57.94 2;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:57.94 2;108;1 am Main-Bürgel - Boot 1 - 01:57.94 2;11642;WSV Offenbach;2025-11-29 07:36:28
35;2 - Boot 1 - 01:59.16 3;2 Hanauer RC Hassia - Boot 1 - 01:59.16 3;110;2 - Boot 1 - 01:59.16 3;11626;Hanauer RC Hassia;2025-11-29 07:36:28
36;3 02:00.66 1;3 RC Möve Grossauheim 02:00.66 1;112;3 02:00.66 1;11625;RC Möve Grossauheim;2025-11-29 07:36:28
37;1 - Boot 1 - 01:56.16 5;1 Limburger ClfW - Boot 1 - 01:56.16 5;116;1 - Boot 1 - 01:56.16 5;11635;Limburger ClfW;2025-11-29 07:36:28
38;2 am Main-Bürgel - Boot 2 - 02:00.90 8;2 WSV Offenbach am Main-Bürgel - Boot 2 - 02:00.90 8;118;2 am Main-Bürgel - Boot 2 - 02:00.90 8;11642;WSV Offenbach;2025-11-29 07:36:28
39;3 - Boot 1 - 02:02.73 4;3 SG Wiking - Boot 1 - 02:02.73 4;120;3 - Boot 1 - 02:02.73 4;11643;SG Wiking;2025-11-29 07:36:28
40;1 01:57.97 12;1 Nassovia Höchst 01:57.97 12;124;1 01:57.97 12;11612;Nassovia Höchst;2025-11-29 07:36:28
41;2 - Boot 2 - 01:59.33 9;2 Limburger ClfW - Boot 2 - 01:59.33 9;126;2 - Boot 2 - 01:59.33 9;11635;Limburger ClfW;2025-11-29 07:36:28
42;3 02:05.52 11;3 RG Wetzlar 02:05.52 11;128;3 02:05.52 11;11647;RG Wetzlar;2025-11-29 07:36:28
43;4 - Boot 2 - 02:11.97 10;4 SG Wiking - Boot 2 - 02:11.97 10;130;4 - Boot 2 - 02:11.97 10;11643;SG Wiking;2025-11-29 07:36:28
44;1 - Boot 3 - 01:59.75 13;1 Limburger ClfW - Boot 3 - 01:59.75 13;134;1 - Boot 3 - 01:59.75 13;11635;Limburger ClfW;2025-11-29 07:36:28
45;2 02:00.70 14;2 RG Eberbach 02:00.70 14;136;2 02:00.70 14;11004;RG Eberbach;2025-11-29 07:36:28
46;3 02:03.63 15;3 WSV Hellas Gießen 02:03.63 15;138;3 02:03.63 15;11623;WSV Hellas Gießen;2025-11-29 07:36:28
47;1 02:01.59 19;1 RC Aschaffenburg 02:01.59 19;142;1 02:01.59 19;11101;RC Aschaffenburg;2025-11-29 07:36:28
48;2 02:18.30 18;2 Hanauer RG 02:18.30 18;144;2 02:18.30 18;11627;Hanauer RG;2025-11-29 07:36:28
49;1 01:46.24 3;1 Hanauer RC Hassia 01:46.24 3;153;1 01:46.24 3;11626;Hanauer RC Hassia;2025-11-29 07:36:28
50;2 Rgm. Frankfurter RG Germania/ 01:46.24 1;2 Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt 01:46.24 1;156;2 Rgm. Frankfurter RG Germania/ 01:46.24 1;15626;SRR Schillerschule Frankfurt;2025-11-29 07:36:28
51;3 01:49.23 2;3 Frankfurter RC 01:49.23 2;159;3 01:49.23 2;11616;Frankfurter RC;2025-11-29 07:36:28
52;1 01:31.14 4;1 Hanauer RC Hassia 01:31.14 4;169;1 01:31.14 4;11626;Hanauer RC Hassia;2025-11-29 07:36:28
53;2 01:35.71 5;2 Offenbacher RG Undine 01:35.71 5;171;2 01:35.71 5;11641;Offenbacher RG Undine;2025-11-29 07:36:28
54;3 01:37.02 3;3 RG Eberbach 01:37.02 3;173;3 01:37.02 3;11004;RG Eberbach;2025-11-29 07:36:28
55;1 01:47.39 8;1 Marburger RV 01:47.39 8;181;1 01:47.39 8;11636;Marburger RV;2025-11-29 07:36:28
56;2 01:50.72 3;2 Hanauer RC Hassia 01:50.72 3;183;2 01:50.72 3;11626;Hanauer RC Hassia;2025-11-29 07:36:28
57;1 01:52.70 4;1 Frauen-RV Freiweg Frankfurt 01:52.70 4;187;1 01:52.70 4;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:28
58;2 01:55.00 5;2 Frankfurter RG Borussia 01:55.00 5;189;2 01:55.00 5;11607;Frankfurter RG Borussia;2025-11-29 07:36:28
59;3 01:59.95 7;3 RG Wetzlar 01:59.95 7;191;3 01:59.95 7;11647;RG Wetzlar;2025-11-29 07:36:28
60;4 02:08.33 6;4 RV Hellas Offenbach 02:08.33 6;193;4 02:08.33 6;11638;RV Hellas Offenbach;2025-11-29 07:36:28
61;1 - Boot 1 - 02:04.12 1;1 RC Aschaffenburg - Boot 1 - 02:04.12 1;205;1 - Boot 1 - 02:04.12 1;11101;RC Aschaffenburg;2025-11-29 07:36:28
62;2 - Boot 1 - 02:13.07 2;2 Limburger ClfW - Boot 1 - 02:13.07 2;207;2 - Boot 1 - 02:13.07 2;11635;Limburger ClfW;2025-11-29 07:36:28
63;3 - Boot 1 - 02:13.48 4;3 SG Wiking - Boot 1 - 02:13.48 4;209;3 - Boot 1 - 02:13.48 4;11643;SG Wiking;2025-11-29 07:36:28
64;4 - Boot 2 - 02:26.07 5;4 RC Aschaffenburg - Boot 2 - 02:26.07 5;211;4 - Boot 2 - 02:26.07 5;11101;RC Aschaffenburg;2025-11-29 07:36:28
65;1 02:12.01 8;1 Hanauer RC Hassia 02:12.01 8;215;1 02:12.01 8;11626;Hanauer RC Hassia;2025-11-29 07:36:28
66;2 - Boot 2 - 02:14.35 7;2 Limburger ClfW - Boot 2 - 02:14.35 7;217;2 - Boot 2 - 02:14.35 7;11635;Limburger ClfW;2025-11-29 07:36:28
67;3 - Boot 2 - 02:24.08 6;3 SG Wiking - Boot 2 - 02:24.08 6;219;3 - Boot 2 - 02:24.08 6;11643;SG Wiking;2025-11-29 07:36:28
68;1 - Boot 1 - 02:02.70 10;1 RC Karlstadt - Boot 1 - 02:02.70 10;223;1 - Boot 1 - 02:02.70 10;11107;RC Karlstadt;2025-11-29 07:36:28
69;2 - Boot 2 - 02:12.15 11;2 RG Wetzlar - Boot 2 - 02:12.15 11;225;2 - Boot 2 - 02:12.15 11;11647;RG Wetzlar;2025-11-29 07:36:28
70;3 - Boot 3 - 02:33.63 9;3 Limburger ClfW - Boot 3 - 02:33.63 9;227;3 - Boot 3 - 02:33.63 9;11635;Limburger ClfW;2025-11-29 07:36:28
71;1 - Boot 2 - 02:16.43 14;1 Hanauer RG - Boot 2 - 02:16.43 14;231;1 - Boot 2 - 02:16.43 14;11627;Hanauer RG;2025-11-29 07:36:28
72;2 - Boot 2 - 02:25.19 13;2 Mühlheimer RV - Boot 2 - 02:25.19 13;233;2 - Boot 2 - 02:25.19 13;11637;Mühlheimer RV;2025-11-29 07:36:28
73;3 - Boot 1 - 02:26.41 12;3 Hanauer RG - Boot 1 - 02:26.41 12;235;3 - Boot 1 - 02:26.41 12;11627;Hanauer RG;2025-11-29 07:36:28
74;1 - Boot 1 - 02:10.90 17;1 Mühlheimer RV - Boot 1 - 02:10.90 17;239;1 - Boot 1 - 02:10.90 17;11637;Mühlheimer RV;2025-11-29 07:36:28
75;2 - Boot 2 - 02:12.77 15;2 RC Karlstadt - Boot 2 - 02:12.77 15;241;2 - Boot 2 - 02:12.77 15;11107;RC Karlstadt;2025-11-29 07:36:28
76;3 - Boot 3 - 02:29.32 16;3 Hanauer RG - Boot 3 - 02:29.32 16;243;3 - Boot 3 - 02:29.32 16;11627;Hanauer RG;2025-11-29 07:36:28
77;1 - Boot 3 - 02:09.35 21;1 Mühlheimer RV - Boot 3 - 02:09.35 21;247;1 - Boot 3 - 02:09.35 21;11637;Mühlheimer RV;2025-11-29 07:36:28
78;2 - Boot 4 - 02:12.02 18;2 Hanauer RG - Boot 4 - 02:12.02 18;249;2 - Boot 4 - 02:12.02 18;11627;Hanauer RG;2025-11-29 07:36:28
79;3 - Boot 5 - 02:18.80 20;3 Hanauer RG - Boot 5 - 02:18.80 20;251;3 - Boot 5 - 02:18.80 20;11627;Hanauer RG;2025-11-29 07:36:28
80;1 01:40.89 1;1 Mühlheimer RV 01:40.89 1;263;1 01:40.89 1;11637;Mühlheimer RV;2025-11-29 07:36:28
81;2 01:47.15 4;2 Gießener RC Hassia 01:47.15 4;265;2 01:47.15 4;11622;Gießener RC Hassia;2025-11-29 07:36:28
82;3 01:48.39 2;3 Frauen-RV Freiweg Frankfurt 01:48.39 2;267;3 01:48.39 2;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:28
83;1 02:10.09 1;1 Hanauer RC Hassia 02:10.09 1;274;1 02:10.09 1;11626;Hanauer RC Hassia;2025-11-29 07:36:28
84;2 02:15.18 2;2 Limburger ClfW 02:15.18 2;276;2 02:15.18 2;11635;Limburger ClfW;2025-11-29 07:36:28
85;3 02:35.92 4;3 RG Wetzlar 02:35.92 4;278;3 02:35.92 4;11647;RG Wetzlar;2025-11-29 07:36:28
86;1 01:58.91 1;1 Frankfurter RG Germania 01:58.91 1;289;1 01:58.91 1;11610;Frankfurter RG Germania;2025-11-29 07:36:28
87;2 02:04.01 2;2 Frankfurter RC 02:04.01 2;291;2 02:04.01 2;11616;Frankfurter RC;2025-11-29 07:36:28
88;1 02:13.85 4;1 Limburger ClfW 02:13.85 4;297;1 02:13.85 4;11635;Limburger ClfW;2025-11-29 07:36:28
89;2 02:16.04 8;2 Hanauer RG 02:16.04 8;299;2 02:16.04 8;11627;Hanauer RG;2025-11-29 07:36:28
90;3 02:17.96 9;3 Frankfurter Ruder- und Kanusport Verein 02:17.96 9;301;3 02:17.96 9;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 07:36:28
91;1 - Boot 1 - 01:48.99 3;1 Frankfurter RC - Boot 1 - 01:48.99 3;315;1 - Boot 1 - 01:48.99 3;11616;Frankfurter RC;2025-11-29 07:36:28
92;2 - Boot 1 - 01:52.99 1;2 Hanauer RC Hassia - Boot 1 - 01:52.99 1;317;2 - Boot 1 - 01:52.99 1;11626;Hanauer RC Hassia;2025-11-29 07:36:28
93;3 01:55.50 2;3 RG Eberbach 01:55.50 2;319;3 01:55.50 2;11004;RG Eberbach;2025-11-29 07:36:28
94;1 - Boot 2 - 01:50.17 12;1 Frankfurter RC - Boot 2 - 01:50.17 12;323;1 - Boot 2 - 01:50.17 12;11616;Frankfurter RC;2025-11-29 07:36:28
95;2 01:50.40 5;2 Nassovia Höchst 01:50.40 5;325;2 01:50.40 5;11612;Nassovia Höchst;2025-11-29 07:36:28
96;1 - Boot 2 - 01:52.68 8;1 Frankfurter RG Oberrad - Boot 2 - 01:52.68 8;329;1 - Boot 2 - 01:52.68 8;11614;Frankfurter RG Oberrad;2025-11-29 07:36:28
